Types_d_atteintes en %,Collégiens en 2016-2017,Filles,Garçons,Etablissement_REP+
Atteintes aux personnes,,,,
"les coups, bousculades et le fait d'être la cible de lancers d'objets. Spécifiquement pour les collégiens, le fait d'avoir participé à une bagarre collective",46.71446,39.86479,53.35957,48.09603
dont cible de lancers d'objets,13.5,11.23,15.7,17.03
"les insultes en lien avec l'origine, la couleur de peau, le sexe et le lieu de résidence. Spécifiquement pour les collégiens, les insultes liées à l'apparence physique et spécifiquement pour les lycéens, les insultes homophobes",27.49805,27.29021,27.67206,30.45007
dont par rapport à l'origine ou la couleur de peau,11.55651,10.41196,12.65221,18.16783
dont sexiste,8.490058,11.115203,5.93134,8.16157
dont à propos de la religion,5.988533,5.459227,6.511977,12.063203
"Au collège, les violences filmées avec un téléphone portable (« happy slapping »), le fait de recevoir des photos ou vidéos humiliantes, la diffusion de rumeurs par internet et l'usurpation d'identité sur internet.Au lycée, le fait d'être victime de vidéos, de photos ou de rumeurs humiliantes sur internet, d'être injurié ou moqué sur un réseau social et l'usurpation d'identité sur internet.",17.79067,18.30678,17.24775,21.06099
"Pour les collégiens le voyeurisme (dans les toilettes ou les vestiaires), les caresses forcées et les baisers forcés. Pour les lycéens, les agressions ou coups pour des raisons sexistes, des comportements déplacés à caractère sexuel ou des violences graves à caractère sexuel.",12.47319,14.386014,10.676789,11.51564
Racket,6.968092,6.497567,7.398005,12.70907
Blessure par arme,3.204564,1.86692,4.47816,6.493537
Atteintes aux biens,,,,
"Vol de fournitures scolaires, d'objets personnels ou d'argent",52.68889,52.30431,53.08953,57.39089
dont vol de fournitures scolaires,48.37,48.05,48.71,54.64
dont vol d'objets personnels,16.58,16.46,16.69,14.94
