Atteintes aux personnes,Part de personnels de collèges et de lycées déclarant des violences au cours de l'année scolaire 2018-2019 en%
Refus ou contestation d'enseignement,35.41521
Moqueries ou insultes (y compris par des gestes),24.14305
Menaces sans arme (dont par internet),11.93326
Mise à l'écart/marginalisation,7.544594
Bousculé intentionnellement et/ou frappé,3.451657
Harcèlement,2.404056
Menaces avec arme,0.1527795
Agression sexuelle,0.07999726
Frappé avec une arme et/ou blessé avec une arme,0.03061673
Atteintes aux biens,
Vol ou dégradation du matériel pédagogique,9.075912
Vol d'objet(s) personnel(s),2.597182
Dégradation du moyen de locomotion pour venir au travail (y compris aux abords de l'établissement),1.968342
